"fid","distance","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"G792-Y4T",115441.128314322,53.15812,-0.23925,"Lincolnshire, England",52.749,-1.821,"Kings Bromley, St. Helens, Staffordshire, England"
"G794-1TZ",282932.045030532,46,2,"France",43.977,-0.176,"Gascogne, France"
"G798-ZND",349029.629120759,49.06,-0.11,"Normandy, France",51.78333,-2.55,"Forest of Dean, Gloucestershire, England"
"G79K-644",309365.628117813,51.11974,-2.9,"Somerset, England",52.3191,1.1476,"Eye, Suffolk, England"
"G79V-BFV",122171.424140584,55.78333,-4.85,"Haylie House, Largs, Ayrshire, Scotland",56.81674,-4.18396,"Scotland"
"G7B1-MNK",104413.568090621,53.018,-1.2664,"Greasley, Nottinghamshire, England",53.95442,-1.35679,"Ingmanthorpe, Yorkshire, England"
"G7B4-13F",225542.644059379,52.4239,1.6736,"Rushmere, Suffolk, England",52.4379,-1.6496,"England"
"G7BD-GD1",153605.488697245,52.71389,-1.10152,"Leicestershire, England",53.635,-2.8158,"Rufford, Lancashire, England"
"G7BF-X3F",183401.419853581,52.1575,-2.6897,"Bodenham, Herefordshire, England",51.7985,-0.0791,"Hertford, Hertfordshire, England"
"G7BH-2G9",805144.690700268,43.4748,5.1674,"Berre-l'Étang, Bouches-du-Rhône, France",40.852,14.268,"Naples, Kingdom of Naples"
"G7BH-T6T",339023.332056493,43.7433,4.7948,"Les Baux-de-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France",41.3874,2.1736,"Barcelona, Barcelona, Catalunya, Espagne"
"G7BT-PFZ",264715.21220101,52.13436,-2.74917,"Kynardesley, Herefordshire, England",50.25116,-5.06676,"Cornwall, England"
"G7C3-TDL",341119.712943217,50.73788,-3.06935,"Colyton, East Devon district, Devonshire, England, United Kingdom",52.6783,0.7595,"Little Dunham, Breckland district, Norfolk, England, United Kingdom"
"G7C6-FPB",334691.423021261,52.33781,-1.56089,"Warwickshire, England",55.33405,-1.98349,"Berwick-on-Trent, Northumberland England"
"G7C7-HB4",152510.338558385,51.8954,1.0275,"Great Bromley, Essex, England",51.19709,-0.86799,"Bentley, Hampshire, England"
"G7C9-3BK",359796.649342364,54.328,-2.747,"Kendal, Westmorland, England",51.51,-0.12,"London, England"
"G7CD-BYM",157361.606779758,51.7255,-1.4279,"Standlake, Oxfordshire, England",52.0073,0.8155,"Assington, Suffolk, England"
"G7CM-3YN",503919.451441334,53.1156,-2.6519,"Bunbury, Cheshire East Unitary authority, Cheshire, England, United Kingdom",49.9167,2.5,"Somme, Hauts-de-France, France"
"G7CR-KWS",5882519.79796705,52.4379,-1.6496,"England",37.2081,-76.7744,"Jamestown, James City, Virginia, United States"
"G7CR-V2P",6011647.50984672,51.51,-0.12,"St Mary Magdalene Bermondsey, London, England",37.2081,-76.7744,"Jamestown, James City, Virginia, United States"
"G7CW-SXS",109706.552364657,53.21667,-0.65,"Doddington, Lincolnshire, , England",52.4379,-1.6496,"England"
"G7CY-VPC",536739.727283073,53.5457,-2.6318,"Wigan, Lancashire, England",49.9167,2.5,"Somme, Picardie, France"
"G7D3-K5K",322905.478542256,48.91022,11.76045,"Schwaben, Kelheim, Bayern, Germany",47,8.5,"Switzerland"
"G7D7-XTL",236604.769511975,52.24066,-3.80138,"Caron-uwch-clawdd, Cardiganshire, Wales",50.2563,-5.0183,"St Clement, Cornwall, England"
"G7D7-YPD",104504.666855053,52.2684,0.8258,"Pakenham, Suffolk, England, United Kingdom",51.38681,0.30369,"Hartley, Kent, England, United Kingdom"
"G7DB-8Q4",168391.008356474,52.3498,-1.6506,"Honiley, Warwickshire, England",51.3678,0.2126,"Lullingstone Castle, Eynsford, Kent, England"
"G7DK-PN7",134367.213259468,51.85229,0.61466,"Yelvertoft Manor, Essex, England",52.4045,-1.1338,"Stanford Hall, Stanford on Avon, Northamptonshire, England"
"G7DK-YY1",248207.189552886,50.9986,-4.3989,"Clovelly, Torridge district, Devonshire, England, United Kingdom",52.4379,-1.6496,"England"
"G7DS-JPH",802143.476904171,60.0667,11.0833,"Sørum, Akershus, Norway",59,-3,"Orkney Islands, Orkney, Scotland"
"G7F4-1NG",320104.081590945,46,2,"Vinciennes, France",48.8667,2.3333,"Paris, Île-De-France, France"
"G7F4-NXS",237008.018474719,46.9897,2.0659,"Berry, France",44.8891,2.5651,"Carlat, Cantal, Auvergne, France"
"G7F6-DJ5",601536.405823238,45.44513,-0.43595,"Jonzac, Charente-Maritime, Nouvelle-Aquitaine, France",50.5825,2.0728,"Renty, Pas-de-Calais, Hauts-de-France, France"
"G7F8-83Q",138586.298443621,52.71389,-1.10152,"Leicestershire, England",53.95878,-1.08248,"Yorkshire, England"
"G7F8-T8G",169006.768011162,51.4472,0.2168,"Eynesford, Dartford, Kent, England",52.4379,-1.6496,"England"
"G7FD-ZMZ",7858390.86634754,51.53333,-0.01666,"Bromley, London, England",46.5425,-123.5036,"England or France"
"G7FF-RBR",141768.564883225,56.4,-3.4333,"Perth, Perthshire, Scotland",55.15,-3,"Langholm, Dumfries and Galloway, Scotland"
"G7FG-MKJ",112661.465633784,51.4268,-1.7209,"Poulton, Wiltshire, England",52.4379,-1.6496,"England"
"G7FL-J7L",197793.497998031,52.4379,-1.6496,"England",51.2732,0.5232,"Maidstone, Kent, England"
"G7FN-95G",179458.615378263,52.67827,0.97259,"Norfolk, England",52.4379,-1.6496,"England"
"G7G1-2YN",655953.00621671,49.5,23,"Galicia, Poland",49,32,"Ukraine"
"G7G1-4QX",254143.605663615,50.9333,6.3667,"Jülich, Rheinland, Prussia",51.65,9.83333,"Hardegsen, Dolna Saksonia, Niemcy, Burial July 27 1442"
"G7G1-LX7",970665.183451106,49,32,"Ukraine",47.5,19.08333,"Pest, Pest, Hungary"
"G7G1-XCL",1120841.54468705,44.25,17.83,"Bosnia-Herzegovina",43.9272,3.80205,"Bude la Vieille"
"G7G5-3LY",188812.515038842,55.14783,-3.64282,"Dumfriesshire, Scotland",56.81674,-4.18396,"Scotland"
"G7G9-CKD",225021.219253855,54.7227,-6.2063,"County Antrim, Irland",53,-8,"Ireland"
"G7GJ-X6K",218113.815883055,52.4379,-1.6496,"England",50.89824,-3.60386,"Way, Devon, England, United Kingdom"
"G7GP-QHT",155111.343170707,49.63461,0.32634,"Neufbourg, Seine-Maritime, Normandy, France",48.8985,-1.4868,"Chanteloup, Manche, Normandy, France"
"G7GS-F5W",298556.600360211,43.1,12.3,"Italy",40.852,14.268,"Napoli, Napoli, Campania, Itália"
"G7GV-1MD",106638.916645821,53.13105,-2.74292,"Newton, Cheshire, England",52.4379,-1.6496,"England"
"G7GZ-GN4",557909.331969711,50.83333,4,"Belgium",46,2,"France"
"G7H4-G78",147207.641821493,51.51,-0.12,"London, City of London, Greater London, England",52.4379,-1.6496,"England"
"G7H7-1L6",126745.458821466,55.96,-4.53,"Dunbartonshire, Scotland",56.644,-2.88931,"Forfar, Forfarshire, Scotland"
"G7H7-SSK",512597.964495168,53.95878,-1.08248,"Yorkshire, England",49.9167,2.5,"Somme, Picardie, France"
"G7H7-X3M",484054.825121389,53.47722,-1.53149,"Wortley, Yorkshire, England",49.9167,2.5,"Y, Somme, Picardie, France"
"G7H9-FRV",173474.549271006,52.4379,-1.6496,"England",53.95878,-1.08248,"Yorkshire, England"
"G7H9-MZF",933054.707636439,48.928,0.5326,"Normandie, France",56.81674,-4.18396,"Scotland"
"G7HC-HNH",143539.496958979,53.37749,-0.18525,"Girsby, Lincolnshire, England",52.4379,-1.6496,"England"
"G7HL-7X2",148436.993856921,48.5514,4.3686,"Dampierre, Aube, Grand Est, França",47.6227,5.8011,"Abbaye, de Theuley, France"
"G7HM-1QH",302746.367419381,49.06,-0.11,"Normandy, France",51.367,-2.3614,"Bath, Somerset, England, United Kingdom"
"G7HM-B97",175333.588039706,52.15871,-1.55432,"Hynton, Warwickshire, England, United Kingdom",51.91833,0.97633,"Ardleigh, Essex, England, United Kingdom"
"G7HM-CX3",104424.894817223,51.85739,-1.29353,"Oxfordshire, England",52.13436,-2.74917,"Herefordshire, England"
"G7J5-TLX",10250312.693626,-26.647,-50.3076,"Tullybody Clackmannanshire Sc",56.81674,-4.18396,"Lochorwart Castle Goregridge Scotland"
"G7JF-DM9",122152.549164025,53.46666,-2.28333,"Trafford Manor, Lancashire, England",52.4379,-1.6496,"England"
"G7JF-MTP",423629.448983455,51.5,10,"Germany",47.7,9.68333,"Hirscher, Germany"
"G7JH-JPP",125913.067386459,45.6088,4.0648,"Montbrison, Loire, Auvergne-Rhône-Alpes, France",46.38958,5.24295,"Sainte Colombe, Ain, Rhône-Alpes, France"
"G7JP-W1H",1001090.49695474,52.95,-1.08333,"Holme Pierrepont, Nottinghamshire, England",43.977,-0.176,"Gascogne, France"
"G7JZ-38S",185685.567748102,50.981,-0.3385,"Sussex, England",52.4379,-1.6496,"England"
"G7K3-5VX",1172165.88635469,52.5,5.75,"Netherlands",42.4672,0.9912,"Central, La Torre de Cabdella, Lérida, Catalunya, Spain"
"G7K5-WR6",1743607.41764739,47.1667,6.4167,"Doubs, Bourgogne-Franche-Comté, France",37.9758,23.7351,"Athína, Attica, Grèce"
"G7K6-R11",2806370.14055489,54.6339,85.5073,"Рязань, Киевская Русь",56.13655,40.39658,"Владимир, Владимирское Княжество"
"G7K9-VL1",1800342.67493907,52.7667,-4.1,"Llanddwywe, Merionethshire, Wales",47,19.5,"Hungary"
"G7KN-Z8G",247644.016068828,50.25116,-5.06676,"Cornwall, England",51.39235,-2.04346,"Wiltshire,England"
"G7KR-FM4",141740.575829864,56.81674,-4.18396,"Lankarkshire, Scotland",55.5573,-3.8475,"Douglas, Lanarkshire, Scotland"
"G7KR-XWD",231027.511311438,53.18268,-2.53046,", , Cheshire, England, United Kingdom",51.11974,-2.9,", , Somerset, England, United Kingdom"
"G7L6-WZQ",173712.633821894,53.95887,-1.06697,"York, Yorkshire, England",52.4379,-1.6496,"England"
"G7L9-PHM",133344.248234533,53.56667,-0.98333,"Hatfield, Yorkshire, England",52.4379,-1.6496,"England"
"G7LG-38V",432601.157102964,53,-8,"Ireland",52.4379,-1.6496,"England"
"G7LK-CJP",124249.296225384,53.15812,-0.23925,"Lincolnshire, England",52.4379,-1.6496,"England"
"G7M6-ZC3",499664.528084507,39.292,9.14,"Santa Igia, Cagliari, Sardinia, Italy",43.1,12.3,"italia"
"G7MN-D6B",133528.690373212,53.41666,-2.8,"Eltonhead, Lancashire, England, United Kingdom",52.4379,-1.6496,"England"
"G7MW-ZLW",5138566.35759809,52.4379,-1.6496,"England",42.37778,-71.0625,"Charlestown, Middlesex, Massachusetts Bay Colony, British Colonial America"
"G7N6-WBV",104263.307436012,53.087,-2.70205,"Bulkeley, Cheshire, England",53.14,-4.26,"Caernarfonshire, Wales"
"G7N7-PM7",273694.728782576,48.60515,-0.94067,"Calais, Normandy, France",50.93333,0.28333,"Warbleton, Sussex"
"G7N8-9CS",110889.621232069,50.766,-2.14508,"Dorset, England",50.73646,-3.71887,"Devon, England"
"G7N8-W5Y",189240.593252308,50.766,-2.14508,"Dorset, England",52.4379,-1.6496,"England"
"G7N9-BC6",533517.198723353,43.45417,23.38167,"Ohrid, Bulgarian Empire",41.0136,28.955,"Constantinople, Turkey"
"G7NK-Q29",305856.221083277,48.5506,-1.7497,"Dol-de-Bretagne, Ille-et-Vilaine, Brittany, France",50.25116,-5.06676,"Cornwall, England, United Kingdom"
"G7NW-SG4",173224.089135689,44.7942,1.1056,"Veyrines-de-Domme, Dordogne, Nouvelle-Aquitaine, France",44.6589,3.2876,"Saint-Sauveur-de-Peyre, Lozère, Occitanie, France"
"G7P2-F8C",174973.718839371,53.13866,-0.3593,"Blankney, Lincolnshire, England",51.5799,-0.6904,"Wooburn, Buckinghamshire, England"
"G7P9-G7T",763962.36808781,46,2,"France",52.4379,-1.6496,"England"
"G7P9-SVM",323140.319189682,55.33405,-1.98349,"Northumberland, England",52.4379,-1.6496,"England"
"G7PH-6XH",154941.074417238,55.6,12.15,"Bergen auf Roskilde, Danish Archdiocese of Roskilde",54.418,13.43181,"Bergen auf Rügen, Danish Archdiocese of Roskilde"
"G7PH-84L",203141.414265634,54,10.1,"Holstein-Itzehoe, Heiliges Römisches Reich",52.2,10.6,"Brunswick-Wolfenbüttel, Holy Roman Empire"
"G7PH-85F",143658.272696068,52.7534,-1.4067,"Cole Orton, Leicestershire, England",53.81849,-2.62573,"Liversedge, Lancashire, England"
"G7PM-8QD",531376.261111054,51.0545,12.556,"Frohburg, Leipzig, Saxony, Germany",47.3812,7.8843,"Froburg, Germany"
"G7Q2-KXS",176878.229492835,51.1792,-3.2182,"Kilve, Somersetshire, England",52.4379,-1.6496,"England"
"G7Q3-MZ8",138971.714004807,52.2638,0.3743,"Exning, Suffolk, England",52.4379,-1.6496,"England"
"G7Q9-7X2",126188.254755027,51.6422,-1.9316,"Ashton Keynes, Wiltshire, England",51.51,-0.12,"London, Middlesex, England"
"G7Q9-9PK",251036.007982987,50.7265,-3.528,"Exeter, Devon, England",52.8061,-2.1182,"Stafford, Staffordshire, England"
"G7Q9-K36",329447.790435077,50.4804,-3.7322,"Staverton, Devon, England",52.20464,0.11964,"Cambridge, Cambridgeshire, England"
"G7QC-3K3",136103.909424153,53.23333,-2.51667,"Davenham, Cheshire, England",52.2489,-1.3189,"Napton On The Hill, Warwickshire, England"
"G7QF-54S",103751.272521464,50.95575,-4.10548,"Stevenstone, Devon, England",50.25116,-5.06676,"Cornwall, England"
"G7QG-H46",189401.638337143,52.2082,-0.5916,"Odell, Bedford district, Bedfordshire, England",53.33618,-2.69735,"Halton, Runcorn, Cheshire, England"
"G7QL-2NY",214196.772905028,53.88132,-1.70709,"Guiseley, Yorkshire, England",52.0558,-2.7172,"Hereford, Herefordshire, England"
"G7QL-7MG",158275.144397009,51.25303,-0.49994,"West Clandon, Surrey, England",52.66807,-0.72487,"Rutland, England, United Kingdom"
"G7QN-Z92",103751.272521464,50.95575,-4.10548,"Stevenstone, Devon, England",50.25116,-5.06676,"Cornwall, England"
"G7QS-G3K",236028.292188435,53.95878,-1.08248,"Setringham, Yorkshire, England",52.2751,1.0653,"Suffolk, England"
"G7R6-VLB",443633.728109254,51.5477,-0.5861,"Stoke Poges, Buckinghamshire, England",47.9014,1.904,"Orléans, Orléanais, France"
"G7R9-P3F",207039.789963346,50.82001,-3.12773,"Cotleigh, Devon, England",52.4379,-1.6496,"England"
"G7RB-WMN",132588.169684125,53.28333,0.18333,"Beakby, Lincolnshire, England",53.0516,-1.7656,"Thorpe, Derbyshire, England"
"G7RC-3CW",489351.654729277,53.25,-2.11667,"Adlington, Macclesfield, Cheshire, England",49.9167,2.5,"Somme, Picardie, France"
"G7RJ-MSF",109678.621378574,50.73646,-3.71887,"Spencercombe, Devon, England",50.25116,-5.06676,"Willesborough, Cornwall, England"
"G7RL-TCK",151792.491895929,51.3202,-0.3842,"Stoke d'Abernon, Epsom, Surrey, England",52.4379,-1.6496,"England"
"G7RQ-1CZ",1994029.74602032,47.6256,5.5607,"Champlitte, Haute-Saône, Franche-Comté, France",41.01105,28.9578,"Constantinople, Istanbul, Turquie"
"G7RQ-FP6",167621.134248398,52.05272,0.72798,"Bures-ad-Montem, Sudbury, Essex, England",52.4379,-1.6496,"England"
"G7RQ-N86",255818.071655876,51.7075,-8.5306,"Kinsale, County Cork, Ireland",51.69715,-4.82219,"Carew Castle, Pembrokeshire, Wales"
"G7RS-VM5",375050.99447714,52.83333,1.5,"Walcott, Norfolk, , England",51.0119,-3.0977,"Taunton, Somerset, , England"
"G7RX-7S1",352910.266499344,53.15812,-0.23925,"Lincolnshire, England",50.7225,-3.5328,"Exeter, Devon, England"
"G7RX-9RW",230585.531012694,50.7265,-3.528,"Exeter, Devon, England",52.4379,-1.6496,"England"
"G7RX-HP5",182198.100478708,52.4379,-1.6496,"England",51.89386,0.86722,"Lexden, Essex, England"
"G7RZ-D4J",432601.157102964,53,-8,"Ireland",52.4379,-1.6496,"England"
"G7S4-2JP",185456.994898808,52.2751,1.0653,"Suffolk, England",52.4379,-1.6496,"England"
"G7S4-2W7",317693.255584431,54.2409,-1.98462,"Walden, Yorkshire, England",51.85229,0.61466,"Essex, England"
"G7S4-6CW",272393.109562828,50.56667,-4.18333,"Lamerton, Devon, England",52.4379,-1.6496,"England"
"G7S4-6H5",207301.839572416,55.71666,-2.15,"Tilmouth, Northumberland, England",53.95878,-1.08248,"Haddlesay, Yorkshire England"
"G7S7-4G7",207500.094114477,51.33333,0.78333,"Tong Castle, Kent, England",52.4379,-1.6496,"England"
"G7SG-6G7",118866.753605894,50.94896,7.04999,"Merheim, Köln, North Rhine-Westphalia, Germany",51.7289,5.8825,"Cuijk, North Brabant, Netherlands"
"G7SG-GJF",547018.915709368,59.98333,17.8,"Uppland, Norway",63.42972,10.39333,"Trondheim, Sor-Trondelag, Norway"
"G7SH-WPT",140200.890182935,55.1683,-1.6881,"Morpeth, Northumberland, England",53.95878,-1.08248,"Yorkshire, England"
"G7SJ-CH9",240456.533631673,52.4379,-1.6496,"England",54.4473,-2.9807,"Rydal, Westmorland, England"
"G7SP-3KF",174259.234476153,52.31038,-2.30096,"Astley, Malvern Hills district, Worcestershire, England, United Kingdom",51.51,-0.12,"London, City of London, Greater London, England, United Kingdom"
"G7SP-D1S",156906.763583509,53.431,-2.598,"Winwick, Lancashire, England",52.3608,-1.0773,"Winwick, Northamptonshire, England"
"G7SQ-9T1",179458.615378263,52.67827,0.97259,"Stoke, Norfolk, England",52.4379,-1.6496,"England"
"G7SS-SZV",283634.896542146,49.06,-0.11,"Normandy, France",51.23013,-2.19408,"Upton Scudamore, Wiltshire, England, United Kingdom"
"G7T3-QVR",259298.60716382,52.4379,-1.6496,"England",54.7667,-1.5667,"durham county, england"
"G7T4-GPT",165808.735323426,53.15812,-0.23925,"Lincolnshire, England",51.7045,-0.7722,"Great Hampden, Buckinghamshire, England"
"G7T9-18W",317687.567650528,55.29167,-1.61667,"Hadston, Northumberland, England",52.4379,-1.6496,"England"
"G7TH-7FK",488764.410367009,47.9358,12.9301,"Laufen, Berchtesgadener Land, Bayern, Allemagne",52.16667,11.1,"Sommerschenburg, Herzogtum Sachsen, Heiliges Römisches Reich"
"G7TJ-6BG",763962.36808781,46,2,"France",52.4379,-1.6496,"England"
"G7TR-5TR",151651.91129291,52.21667,0.55,"Denham, Mid Suffolk district, Suffolk, England, United Kingdom",52.4379,-1.6496,"England"
"G7TS-3JC",101914.34649026,53.18268,-2.53046,"Cheshire, England",52.4379,-1.6496,"England"
"G7TS-JCT",323140.319189682,55.33405,-1.98349,"Hedlestone, Northumberland, England",52.4379,-1.6496,"England"
"G7V3-FF9",226418.600818599,52.4902,-2.9997,"Bishops Castle, Shropshire, England",51.5333,-0.0833,"St Leonard, Shoreditch, Middlesex, England"
"G7V6-NVY",6053394.77556139,52.67827,0.97259,"Besthrope, Norfolk, England, United Kingdom",36.7101,-76.303,"Norfolk, Virginia, British Colonial America"
"G7VG-31P",212811.481954812,54.91084,-7.90151,"County Donegal, Ireland",53,-8,"Ireland"
"G7W8-8F8",159292.811290615,51.4736,-3.3653,"Tregantllo, Mertyr Mawr, Glamorganshire, Wales",52.4379,-1.6496,"England"
"G7W9-VB6",146988.112167392,52.65445,0.49239,"Shouldham, Norfolk, England",52.4379,-1.6496,"England, Europe"
"G7WB-D7D",387178.093795841,48.597,-1.5044,"Beauvoir, Manche, Normandie, France",50.1022,3.3103,"Esnes, Nord, Hauts-de-France, France"
"G7WB-XL7",191546.797660308,56.2037,-4.7127,"Tarbet, Dunbartonshire, Scotland",57.148,-2.094,"Aberdeen, Aberdeenshire, Scotland, United Kingdom"
"G7WC-D6R",173577.749332087,56.81674,-4.18396,"Scotland",55.4667,-2.7833,"Roxburghshire, Scotland, United Kingdom"
"G7WG-V9B",741973.296060942,51.11974,-2.9,"Somerset, England",44.97814,0.98308,"Calais, Dordogne, Aquitaine, France"
"G7WH-XPJ",116173.752589004,45.7891,4.1366,", , Auvergne-Rhône-Alpes, France",45.5328,2.6891,"La Tour-d'Auvergne, Puy-de-Dôme, Auvergne, France"
"G7WJ-D3B",105890.276483716,50.9497,1.9568,"Marck,62730,Pas-de-Calais,Hauts-de-France,FRANCE,",50.3888,3.169,"Lallaing,59167,Nord,Hauts-de-France,FRANCE,"
"G7WL-4ZR",210206.852778905,50.9,-3.41667,"Halberton, Devon, England",52.4379,-1.6496,"England, England"
"G7WM-B5L",175408.458685788,57.68088,-4.03921,"Lochalsh, Ross & Cromarty, Scotland",56.25,-5.25,"Orinsay, Argyll, Scotland"
"G7WM-X8W",200817.334999269,51.85229,0.61466,"Essex, England",51.9605,-2.3043,"Staunton, Gloucestershire, England, United Kingdom"
"G7WP-LTJ",155795.278736943,52.90473,-0.30907,"Horbling, Lincolnshire, England",51.51,-0.12,"London London Bassieshawe Cambridge, London, England"
"G7WS-MMJ",123371.981329433,52.21369,0.12631,"Cambridgeshire, England",52.4379,-1.6496,"England"
"G7WW-4CX",110858.80445823,52.0456,-2.8496,"Madley, Herefordshire, England",52.1777,-1.2423,"Byfield, Northamptonshire, England"
"G7WX-ZSV",518144.548009627,46.3377,2.7985,"Château de Bord-Peschin, Doyet, Allier, Auvergne-Rhône-Alpes, France",50.95,1.85,", Pas-de-Calais, Hauts-de-France, France"
"G7X3-B8F",250498.762857543,47.1707,9.4627,"Werdenberg, St. Gallen, Switzerland",48.2303,12.4128,"Muhldorf, Bavaria, Germany"
"G7X3-BY7",105226.891298036,47.5,14,"Österreich",47.1372,15.2876,"Rein Abbey, Gratwein, Styria, Austria"
"G7X5-1JB",308819.956264503,52.0253,1.1055,"Belstead, Suffolk, England",54.28333,-1.58333,"Bedale, Yorkshire, England"
"G7X6-HXZ",284218.75161361,53.71872,-0.15724,"Hamerton, Yorkshire, England",51.22608,0.75054,"Kent, England"
"G7X8-1W8",473316.40383325,49.16667,-0.5,"Montgomery, calvados, basse-normandie, france",53.23333,-2.48333,"Shipbrook, Cheshire, England"
"G7XJ-ZWX",354620.178279788,52.0795,-1.218,"Marston St Lawrence, Northumberland, England",49.9167,2.5,"Somme, Picardie, France"
"G7XM-XH5",804011.934297218,56.38333,-2.88333,"Leuchars, Fife, Scotland, United Kingdom",49.9167,2.5,"Somme, Picardie, France"
"G7XN-T1R",187970.523834395,53.841,-0.424,"Beverley, Yorkshire, England",52.8,-2.65,"Moreton Corbet, Shropshire, England"
"G7XV-4ZC",235547.095894096,52.3191,1.1476,"Eye, Suffolk, England",53.95878,-1.08248,"Yorkshire, England"
"G7XV-ZKP",235547.095894096,52.3191,1.1476,"Eye, Suffolk, England",53.95878,-1.08248,"Yorkshire, England"
"G7XV-ZMQ",183957.735378233,53,-8,"Ireland",54.59678,-7.27929,"County Tyrone, Ireland"
"G7XX-7LR",110534.489349905,50.38369,-3.5256,"Brixham, Torbay, Devon, England",50.25116,-5.06676,"Cornwall, England"
"G7XY-MYJ",131870.345244317,53.55103,-2.323,"Pilkington, Lancashire, England",52.4379,-1.6496,"England"
"G7XZ-T13",137284.250651448,50.6906,-3.6821,"Dunsford, Devon",51.6263,-2.4011,"Charfield, Gloucestershire, England"
"G7Y2-F18",132020.318608508,56.81674,-4.18396,"Scotland",57.148,-2.094,"Aberdeen, Aberdeenshire, Scotland"
"G7Y2-RZ8",108604.025373833,51.28114,-0.40057,"Surrey, England",52.0633,-1.3409,"Banbury, Oxford, England"
"G7Y4-TGK",275619.394866845,51.95125,-2.89199,"Ewias, Hertfordshire, England",53.3443,-6.2665,"Dublin, County Dublin, Leinster, Ireland"
"G7Y7-W6Z",687041.983184394,52.4379,-1.6496,"England",51.0866,8.0888,"Kirchhundem, Olpe, Westfalen, Preußen, Deutschland"
"G7YD-7V8",203515.572557169,45.5525,9.2226,"Este, Milano, Lombardia, Italy",44.8773,11.6345,"Ferrara, Emilia-Romagna, Italy"
"G7YK-9K5",172466.317266237,52.4379,-1.6496,"England",52.95526,-4.05945,"Gwynedd, Wales"
"G7YL-XNJ",273163.534765837,58.28351,-4.60327,"Lochinvar, Sutherland, Scotland",55.82986,-4.54284,"Kilmarnock, Renfrewshire, Scotland"
"G7YR-3MW",109086.196673146,52.64306,-2.71362,"Shropshire, England",52.71389,-1.10152,"Leicestershire, England"
"G7ZQ-TCP",210255.906734732,50.6253,-2.5033,"Chickerell, Dorset, England",52.4379,-1.6496,"England"
"G7ZW-KZQ",752414.540433312,46,2,"France",51.9513,-2.8934,"Ewyas Harold, Herefordshire, England"
"G81B-6MM",147748.68658969,55.5,-4.48333,"Tarbolton, Ayrshire, Scotland",56.81674,-4.18396,"Scotland, United Kingdom"
"G81H-7ZC",129445.858785086,55.75,-3.35,"West Linton, Peeblesshire, Scotland",56.81674,-4.18396,"Scotland"
"G81V-GXW",373915.061716493,48.9552,4.3636,"Châlons-sur-Marne, Marne, Champagne-Ardenne, France",46,2,"France"
"G81X-8FJ",238821.397358697,48.6884,5.3229,"Ligny-en-Barrois, Meuse, Grand Est, France",50.7767,6.0836,"Baesweiler, Aachen, Rhineland, Prussia, Germany"
"G821-PSR",536288.555302215,52.57,-0.2414,"Peterborough, Northamptonshire, England",56.81674,-4.18396,"Scotland"
"G823-LXC",208759.01429725,53.18333,-1.65,"Haddon Hall, Derbyshire, England",51.56744,-0.09076,"Stoke Newington St Matthias, Middlesex, England"
"G825-X34",190753.076681374,52.282,-1.585,"Warwick, Warwickshire, England",51.3413,0.7319,"Sittingbourne, Kent, England"
"G829-DM5",173520.917680294,52.3394,-2.5811,"Court of Hill,Nash, Burford Parish, Shropshire, England",50.80831,-3.05169,"Axminster, Devon, England"
"G82Y-6NJ",282385.228181623,54.6111,-3.5654,"Harrington, Cumberland, England, United Kingdom",53.2272,0.04547,"Harrington, Lincolnshire, England, United Kingdom"
"G832-MBC",1066980.91603844,52.9721,-0.81936,"Wiverton, Nottinghamshire, England",59.26667,12.21667,"Ed Vastra Gotaland, Sweden"
"G836-G3Z",155711.567453417,53.6599,-1.6327,"Thornhill, Yorkshire, England",52.3312,-0.9062,"Brixworth, Northamptonshire, England"
"G83C-K8P",471706.076039893,48.8104,-0.75796,"Noron, Calvados, Basse-Normandie, France",52.86086,-2.73124,"Wem, Shropshire, England"
"G83G-SBZ",173474.549271006,53.95878,-1.08248,"Yorkshire, England",52.4379,-1.6496,"England"
"G83V-SP3",247448.744607745,48.97,4.25,"Marne, France",46.7842,4.8529,"Chalon-sur-Saône, Saône-et-Loire, Burgundy, France"
"G849-Q73",656263.680027022,46,2,"France",51.5761,-0.9103,"Fawley, Buckinghamshire, England"
"G84C-1V8",262480.797278867,48.73333,9.71667,"Hohenstaufen, Swabia, Germany",48.6692,6.145,"Villers-lès-Nancy, Meurthe-et-Moselle, Lorraine, França"
"G84M-91N",336885.578355721,46,2,"France",46.1184,6.3584,"Faucigny, Haute-Savoie, Rhône-Alpes, France"
"G84M-YJF",132708.580693026,53.95878,-1.08248,"Yorkshire, England",52.82497,-0.46474,"Irnham, Lincolnshire, England"
"G84M-YNL",113284.605571385,51.5207,-2.3654,"Dodington, Gloucestershire, England, United Kingdom",52.4379,-1.6496,"England, United Kingdom"
"G84P-BX8",1190244.72996323,51.93142,0.24597,"Henham, Essex, England",42.75,-7.88333,"Oronse, Galicia, Spain"
"G84P-DR3",192909.699030566,53.51667,-0.81667,"Epworth, Lincolnshire, England",51.787,-0.6413,"Wigginton, Hertfordshire, England"
"G853-WCC",194647.894225142,52.2665,1.1995,"Bedingfield, Suffolk, England",52.4379,-1.6496,"England"
"G858-LM2",297363.376115723,52.78333,-0.05,"Moulton, Lincolnshire, England",54.4813,-3.5289,"Egremont, Cumberland, England"
